first_name,last_name,full_name,pos,war_pos,war_p,war_tot,war_162,wae,wam,wwpa,wwar,c_pct,rp_pct,wwar_norm,is_pitcher,is_hitter,b_pa,b_ab,b_h,b_2b,b_3b,b_hr,b_bb,b_hbp,b_sf,ba,obp,slg,ops_plus,p_w,p_l,p_sv,p_ip,p_h,p_er,p_bb,p_so,p_hr,era,era_plus,hof_status,induction_year
Eddie,Bressoud,Eddie Bressoud,SS,11.6,0.0,11.6,11.6,3.1,0.0,0.0,14.7,,,14.7,,yes,2188,1958,528,115,19,57,199,6,12,0.270,0.337,0.435,109
Jake,Stahl,Jake Stahl,1B,11.6,0.0,11.6,12.2,1.9,0.0,0.4,14.5,0.058,,14.5,,yes,1890,1648,456,71,50,21,140,46,0,0.277,0.350,0.419,134
Sonny,Siebert,Sonny Siebert,P,1.5,8.0,9.5,9.5,3.9,0.3,0.0,13.7,,0.176,14.1,yes,,,,,,,,,,,,,,,57,41,5,820.0,787,315,248,528,88,3.46,108
Jack,Wilson,Jack Wilson,P,-0.4,11.4,11.0,11.6,1.1,0.0,0.0,12.7,,0.562,13.9,yes,,,,,,,,,,,,,,,67,67,20,1067.7,1141,527,564,563,67,4.44,107
Rick,Ferrell,Rick Ferrell,C,9.7,0.0,9.7,10.2,1.6,0.0,0.0,11.8,0.985,,13.8,,yes,2100,1791,541,111,17,16,269,2,0,0.302,0.394,0.410,102,,,,,,,,,,,,hof,1995
Sad Sam,Jones,Sad Sam Jones,P,0.6,7.6,8.2,8.8,3.7,0.7,0.0,13.3,,0.210,13.8,yes,,,,,,,,,,,,,,,64,59,4,1045.0,1069,394,338,307,16,3.39,102
Oil Can,Boyd,Oil Can Boyd,P,0.0,11.1,11.1,11.1,2.6,0.0,-0.4,13.3,,0.046,13.5,yes,,,,,,,,,,,,,,,60,56,0,1016.7,1067,469,259,571,126,4.15,103
Billy,Werber,Billy Werber,3B,9.5,0.0,9.5,10.0,3.1,0.1,0.0,13.2,,,13.2,,yes,2372,2045,575,130,25,38,268,9,0,0.281,0.367,0.425,98
Tom,Burgmeier,Tom Burgmeier,P,0.0,8.1,8.1,8.1,2.9,0.2,0.0,11.2,,0.995,13.1,yes,,,,,,,,,,,,,,,21,12,40,411.0,409,124,98,217,29,2.72,157
Jack,Quinn,Jack Quinn,P,-1.0,11.6,10.6,11.2,1.1,0.0,0.0,12.3,,0.310,12.9,yes,,,,,,,,,,,,,,,45,54,14,832.7,946,338,190,226,28,3.65,116
Everett,Scott,Everett Scott,SS,11.4,0.0,11.4,12.6,0.0,0.0,-0.2,12.4,,,12.4,,yes,4268,3887,956,141,41,7,171,11,0,0.246,0.280,0.309,69,,,,,,,,,,,,hof,2004
Bill,Carrigan,Bill Carrigan,C,9.7,0.0,9.7,10.2,0.4,0.0,0.1,10.7,0.915,,12.4,,yes,2277,1970,506,67,14,6,206,22,0,0.257,0.334,0.314,94,,,,,,,,,,,,hof,2004
George,Scott,George Scott,1B,11.0,0.0,11.0,11.0,1.4,0.0,-0.1,12.3,,,12.3,,yes,4565,4078,1053,149,37,150,401,34,37,0.258,0.327,0.423,103,,,,,,,,,,,,hof,1995
Mike,Boddicker,Mike Boddicker,P,0.0,10.4,10.4,10.4,2.4,0.0,-0.6,12.2,,0.012,12.2,yes,,,,,,,,,,,,,,,39,22,0,528.7,527,205,166,344,38,3.49,118
Hobe,Ferris,Hobe Ferris,2B,10.1,0.0,10.1,11.3,0.0,0.0,0.9,12.2,,,12.2,,yes,3927,3689,876,148,77,34,135,11,0,0.237,0.266,0.347,83
Daisuke,Matsuzaka,Daisuke Matsuzaka,P,-0.2,9.6,9.4,9.4,2.1,0.0,0.6,12.1,,0.009,12.1,yes,,,,,,,,,,,,,,,49,30,0,622.7,569,294,301,568,64,4.25,108,active
Ernie,Shore,Ernie Shore,P,-2.3,10.7,8.4,8.8,1.1,0.0,1.8,11.8,,0.176,12.1,yes,,,,,,,,,,,,,,,58,33,3,839.0,732,198,204,272,6,2.12,128
Dick,Drago,Dick Drago,P,0.0,8.6,8.6,8.6,0.8,0.0,1.1,10.5,,0.859,12.1,yes,,,,,,,,,,,,,,,30,29,41,547.3,517,216,184,305,50,3.55,117
Willard,Nixon,Willard Nixon,P,1.7,9.2,10.9,11.5,0.2,0.0,0.0,11.7,,0.213,12.1,yes,,,,,,,,,,,,,,,69,72,3,1234.0,1277,602,530,616,89,4.39,98
Hideki,Okajima,Hideki Okajima,P,0.0,6.3,6.3,6.3,1.8,0.0,2.2,10.3,,1.000,12.1,yes,,,,,,,,,,,,,,,17,8,6,246.3,221,85,86,215,26,3.11,149,active
Herb,Pennock,Herb Pennock,P,0.6,9.3,9.9,10.7,0.4,0.0,0.0,11.1,,0.383,11.9,yes,,,,,,,,,,,,,,,62,59,6,1089.3,1169,444,299,358,29,3.67,100,hof,1995
Danny,MacFayden,Danny MacFayden,P,-0.8,10.9,10.1,10.6,0.8,0.0,0.0,11.4,,0.200,11.8,yes,,,,,,,,,,,,,,,52,78,4,1167.0,1273,548,430,344,45,4.23,102
Joe,Harris,Joe Harris,LF,9.6,0.0,9.6,10.1,1.7,0.0,0.0,11.8,,,11.8,,yes,1601,1382,439,94,29,22,163,11,0,0.318,0.394,0.475,126
Adrian,Gonzalez,Adrian Gonzalez,1B,6.9,0.0,6.9,6.9,3.9,0.9,0.0,11.7,,,11.7,,yes,715,630,213,45,3,27,74,6,5,0.338,0.410,0.548,155,,,,,,,,,,,,active
Mike,Timlin,Mike Timlin,P,0.0,6.9,6.9,6.9,1.6,0.1,1.2,9.8,,1.000,11.5,yes,,,,,,,,,,,,,,,30,22,27,409.0,422,171,98,273,44,3.76,125
Bill,Campbell,Bill Campbell,P,0.0,5.1,5.1,5.1,3.1,1.6,0.0,9.8,,1.000,11.5,yes,,,,,,,,,,,,,,,28,19,51,335.0,318,133,142,240,27,3.57,122
Clay,Buchholz,Clay Buchholz,P,0.1,8.8,8.9,8.9,2.4,0.0,0.0,11.3,,0.026,11.4,yes,,,,,,,,,,,,,,,35,24,0,447.0,416,181,185,342,43,3.64,123,active
Patsy,Dougherty,Patsy Dougherty,LF,8.1,0.0,8.1,9.3,2.2,0.0,-0.1,11.3,,,11.3,,yes,1359,1223,398,36,22,4,100,12,0,0.325,0.382,0.401,126
Jody,Reed,Jody Reed,2B,11.3,0.0,11.3,11.3,0.2,0.0,-0.3,11.2,,,11.2,,yes,3067,2658,743,180,7,17,319,16,17,0.280,0.358,0.372,100
Ira,Flagstead,Ira Flagstead,CF,10.5,0.0,10.5,11.0,0.0,0.0,0.0,11.0,,,11.0,,yes,3399,2941,867,196,32,27,335,37,0,0.295,0.374,0.411,105
Mike,Andrews,Mike Andrews,2B,9.9,0.0,9.9,9.9,1.1,0.0,-0.1,10.9,,,10.9,,yes,2466,2101,563,96,4,47,295,13,12,0.268,0.360,0.385,108
Tom,Gordon,Tom Gordon,P,0.0,8.5,8.5,8.5,1.7,0.0,-0.4,9.8,,0.653,10.9,yes,,,,,,,,,,,,,,,25,25,68,495.3,476,245,220,432,42,4.45,109
Bill,Mueller,Bill Mueller,3B,9.1,0.0,9.1,9.1,2.5,0.0,-0.9,10.7,,,10.7,,yes,1650,1442,437,106,9,41,169,17,18,0.303,0.378,0.474,119
Earl,Wilson,Earl Wilson,P,3.3,7.0,10.3,10.3,0.2,0.0,0.0,10.5,,0.103,10.7,yes,,,,,,,,,,,,,,,56,58,0,1024.3,951,467,481,714,123,4.10,95
Ray,Culp,Ray Culp,P,-1.9,11.3,9.4,9.4,1.2,0.0,0.0,10.6,,0.037,10.7,yes,,,,,,,,,,,,,,,71,58,0,1092.3,958,425,404,794,103,3.50,105
Danny,Darwin,Danny Darwin,P,0.0,7.9,7.9,7.9,2.1,0.0,0.0,10.0,,0.327,10.6,yes,,,,,,,,,,,,,,,34,31,3,534.3,527,246,141,350,70,4.14,110
Milt,Gaston,Milt Gaston,P,-0.1,7.9,7.8,8.2,1.8,0.0,0.0,10.0,,0.200,10.4,yes,,,,,,,,,,,,,,,27,52,4,635.7,674,279,220,215,34,3.95,112
Bob,Ojeda,Bob Ojeda,P,0.0,9.6,9.6,9.6,0.3,0.0,0.0,9.9,,0.193,10.2,yes,,,,,,,,,,,,,,,44,39,1,718.7,734,336,285,425,64,4.21,101
Greg,Harris,Greg Harris,P,0.0,8.1,8.1,7.6,1.4,0.0,-0.1,8.9,,0.815,10.1,yes,,,,,,,,,,,,,,,39,43,16,651.0,601,283,304,489,48,3.91,111
Red,Ruffing,Red Ruffing,P,2.7,5.1,7.8,8.2,1.3,0.0,0.0,9.5,,0.270,9.9,yes,,,,,,,,,,,,,,,39,96,8,1122.3,1226,575,459,450,47,4.61,92,hof,1995
Rick,Miller,Rick Miller,CF,9.9,0.0,9.9,9.9,0.0,0.0,-0.1,9.8,,,9.8,,yes,2935,2573,683,107,23,23,302,10,15,0.265,0.343,0.352,91
Eddie,Lake,Eddie Lake,SS,6.7,0.0,6.7,7.0,2.7,0.0,0.0,9.7,,,9.7,,yes,1007,815,201,42,1,14,176,2,0,0.247,0.382,0.352,111
Tony,Conigliaro,Tony Conigliaro,RF,9.0,0.0,9.0,9.0,0.6,0.0,0.0,9.6,,,9.6,,yes,3298,2955,790,121,23,162,264,32,30,0.267,0.331,0.488,122,,,,,,,,,,,,hof,1995
Aaron,Sele,Aaron Sele,P,0.0,8.0,8.0,9.3,0.2,0.0,0.0,9.5,,0.000,9.5,yes,,,,,,,,,,,,,,,38,33,0,622.0,660,305,269,478,60,4.41,110
Adrian,Beltre,Adrian Beltre,3B,6.1,0.0,6.1,6.1,3.1,0.1,0.0,9.3,,,9.3,,yes,641,589,189,49,2,28,40,5,7,0.321,0.365,0.553,141,,,,,,,,,,,,active
John,Tudor,John Tudor,P,0.0,8.4,8.4,8.4,0.7,0.0,0.0,9.1,,0.113,9.3,yes,,,,,,,,,,,,,,,39,32,1,636.7,645,280,208,382,69,3.96,108
Earl,Webb,Earl Webb,RF,7.1,0.0,7.1,7.5,1.8,0.0,0.0,9.3,,,9.3,,yes,1164,1038,341,97,9,30,114,1,0,0.329,0.395,0.526,136
Joe,Foy,Joe Foy,3B,8.0,0.0,8.0,8.0,0.9,0.0,0.3,9.2,,,9.2,,yes,1771,1515,373,63,14,41,221,9,10,0.246,0.344,0.387,108
Buck,O'Brien,Buck O'Brien,P,-0.8,7.8,7.0,7.4,1.7,0.0,-0.3,8.8,,0.121,9.0,yes,,,,,,,,,,,,,,,29,23,0,413.7,370,118,146,200,3,2.57,128
Daniel,Bard,Daniel Bard,P,0.0,5.3,5.3,5.3,1.8,0.2,0.2,7.5,,1.000,8.8,yes,,,,,,,,,,,,,,,5,13,5,197.0,132,63,76,213,16,2.88,154,active
Mickey,Harris,Mickey Harris,P,1.0,6.5,7.5,7.9,0.8,0.0,-0.3,8.4,,0.274,8.8,yes,,,,,,,,,,,,,,,43,42,1,688.0,723,300,290,369,48,3.92,104
Bernie,Carbo,Bernie Carbo,RF,7.4,0.0,7.4,7.4,0.0,0.0,1.4,8.8,,,8.8,,yes,1202,986,257,54,4,45,204,5,5,0.261,0.388,0.460,130
Roy,Johnson,Roy Johnson,LF,7.9,0.0,7.9,8.3,0.4,0.0,0.0,8.7,,,8.7,,yes,2205,1954,611,130,30,31,227,8,0,0.313,0.386,0.458,116
Doc,Gessler,Doc Gessler,RF,6.6,0.0,6.6,6.9,1.7,0.0,0.0,8.6,,,8.6,,yes,947,831,249,37,15,3,82,19,0,0.300,0.376,0.391,143
Johnny,Marcum,Johnny Marcum,P,0.3,7.3,7.6,8.0,0.2,0.0,0.0,8.2,,0.313,8.6,yes,,,,,,,,,,,,,,,26,30,4,450.0,537,234,124,141,42,4.68,107
Jim,Lonborg,Jim Lonborg,P,0.5,5.2,5.7,5.7,0.5,0.0,1.8,8.0,,0.201,8.3,yes,,,,,,,,,,,,,,,68,65,2,1099.0,1031,481,403,784,105,3.94,93,hof,2002
Gary,Geiger,Gary Geiger,CF,8.1,0.0,8.1,8.2,0.0,0.0,0.0,8.2,,,8.2,,yes,2290,2002,507,78,23,71,249,12,9,0.253,0.338,0.422,104
Fergie,Jenkins,Fergie Jenkins,P,0.0,7.1,7.1,7.1,1.1,0.0,0.0,8.2,,0.017,8.2,yes,,,,,,,,,,,,,,,22,21,0,402.0,391,155,79,247,50,3.47,122
Roger,Moret,Roger Moret,P,-0.3,7.9,7.6,7.6,0.0,0.0,-0.2,7.4,,0.483,8.1,yes,,,,,,,,,,,,,,,41,18,6,559.0,490,213,272,334,47,3.43,116
George,Winter,George Winter,P,-0.9,7.9,7.0,7.7,0.1,0.0,0.0,7.8,,0.174,8.0,yes,,,,,,,,,,,,,,,82,97,3,1599.7,1503,518,370,543,32,2.91,100
Eddie,Cicotte,Eddie Cicotte,P,0.5,6.5,7.0,7.4,0.0,0.0,0.0,7.4,,0.301,7.7,yes,,,,,,,,,,,,,,,52,46,3,885.7,822,265,289,407,9,2.69,102
Jason,Bay,Jason Bay,LF,5.5,0.0,5.5,5.5,2.1,0.0,0.0,7.6,,,7.6,,yes,849,715,196,41,5,45,116,11,7,0.274,0.380,0.534,132,,,,,,,,,,,,active
Marty,Barrett,Marty Barrett,2B,6.9,0.0,6.9,6.9,0.0,0.0,0.6,7.5,,,7.5,,yes,3816,3362,935,162,9,17,304,15,33,0.278,0.338,0.347,86
Ed,Morris,Ed Morris,P,0.2,6.0,6.2,6.5,0.5,0.0,0.0,7.0,,0.422,7.5,yes,,,,,,,,,,,,,,,42,45,6,662.0,680,303,287,251,19,4.12,102
Dick,Hoblitzell,Dick Hoblitzell,1B,6.9,0.0,6.9,7.2,0.2,0.0,0.1,7.5,,,7.5,,yes,1532,1305,340,52,20,3,139,13,0,0.261,0.338,0.338,109
Ike,Delock,Ike Delock,P,-3.3,9.7,6.4,6.8,0.0,0.0,0.0,6.8,,0.559,7.5,yes,,,,,,,,,,,,,,,83,72,31,1207.7,1211,538,514,661,135,4.01,103
Tommy,Harper,Tommy Harper,LF,6.1,0.0,6.1,6.1,1.3,0.0,0.0,7.4,,,7.4,,yes,1783,1565,405,67,8,36,174,13,7,0.259,0.337,0.381,102,,,,,,,,,,,,hof,2010
Scott,Cooper,Scott Cooper,3B,6.6,0.0,6.6,7.3,0.0,0.0,0.0,7.3,,,7.3,,yes,1420,1268,360,70,9,27,127,6,10,0.284,0.349,0.417,101
Ben,Chapman,Ben Chapman,RF,6.3,0.0,6.3,6.6,0.5,0.0,0.0,7.1,,,7.1,,yes,1040,903,293,63,19,13,122,1,0,0.324,0.405,0.480,117
Harry,Lord,Harry Lord,3B,5.9,0.0,5.9,6.2,0.9,0.0,0.0,7.1,,,7.1,,yes,1581,1420,391,33,18,3,57,20,0,0.275,0.313,0.330,103
Rube,Walberg,Rube Walberg,P,-0.4,6.4,6.0,6.3,0.0,0.0,0.0,6.3,,0.692,7.1,yes,,,,,,,,,,,,,,,21,27,5,452.3,511,223,177,177,29,4.44,110
Jack,Russell,Jack Russell,P,-0.5,6.4,5.9,6.2,0.4,0.0,0.0,6.6,,0.393,7.1,yes,,,,,,,,,,,,,,,41,94,0,1215.0,1480,618,294,202,47,4.58,94
Johnny,Welch,Johnny Welch,P,-0.1,5.8,5.7,6.0,0.3,0.0,0.0,6.3,,0.601,7.0,yes,,,,,,,,,,,,,,,33,40,5,583.3,656,302,242,242,31,4.66,100
Del,Pratt,Del Pratt,2B,5.9,0.0,5.9,6.2,0.7,0.0,0.0,6.9,,,6.9,,yes,1248,1128,352,80,17,11,97,5,0,0.312,0.369,0.442,110
Mike,Torrez,Mike Torrez,P,0.0,6.6,6.6,6.6,0.2,0.0,0.0,6.8,,0.025,6.8,yes,,,,,,,,,,,,,,,60,54,0,1012.7,1108,507,420,480,87,4.51,95
George,Burns,George Burns,1B,5.7,0.0,5.7,6.0,0.8,0.0,0.0,6.8,,,6.8,,yes,1218,1109,352,79,10,19,65,16,0,0.317,0.364,0.458,115
Scott,Fletcher,Scott Fletcher,2B,5.1,0.0,5.1,5.4,1.4,0.0,0.0,6.8,,,6.8,,yes,737,665,179,40,6,8,53,7,3,0.269,0.328,0.383,85
Hugh,Bedient,Hugh Bedient,P,-0.8,5.4,4.6,4.8,1.4,0.0,0.0,6.2,,0.429,6.7,yes,,,,,,,,,,,,,,,43,35,9,667.3,648,226,167,314,10,3.05,100
Carney,Lansford,Carney Lansford,3B,5.9,0.0,5.9,5.9,0.8,0.0,0.0,6.7,,,6.7,,yes,977,881,279,51,7,15,80,4,10,0.317,0.372,0.442,122
Carl,Everett,Carl Everett,CF,5.0,0.0,5.0,5.0,1.5,0.0,0.0,6.5,,,6.5,,yes,1010,905,254,56,8,48,79,21,5,0.281,0.350,0.519,118
Rick,Wise,Rick Wise,P,0.0,6.5,6.5,6.5,0.0,0.0,-0.1,6.4,,0.058,6.5,yes,,,,,,,,,,,,,,,47,32,0,657.0,678,289,164,344,73,3.96,105
Stuffy,McInnis,Stuffy McInnis,1B,5.4,0.0,5.4,6.4,0.0,0.0,-0.1,6.3,,,6.3,,yes,2240,2006,594,75,23,3,81,9,0,0.296,0.326,0.361,90
Joe,Hesketh,Joe Hesketh,P,0.0,5.4,5.4,5.8,0.0,0.0,0.0,5.8,,0.485,6.3,yes,,,,,,,,,,,,,,,31,26,2,495.0,520,222,197,351,49,4.04,111
George,Kell,George Kell,3B,5.5,0.0,5.5,5.8,0.5,0.0,0.0,6.3,,,6.3,,yes,941,829,253,59,4,18,98,6,0,0.305,0.383,0.451,121
Del,Gainer,Del Gainer,1B,5.2,0.0,5.2,5.5,0.0,0.0,0.8,6.2,,,6.2,,yes,827,716,196,36,14,8,67,8,0,0.274,0.343,0.397,122
Dick,Gernert,Dick Gernert,1B,5.9,0.0,5.9,6.2,0.0,0.0,0.0,6.2,,,6.2,,yes,2626,2255,568,96,8,101,336,17,11,0.252,0.352,0.436,108
Reggie,Cleveland,Reggie Cleveland,P,0.0,6.1,6.1,6.1,0.0,0.0,-0.3,5.8,,0.413,6.2,yes,,,,,,,,,,,,,,,46,41,4,752.7,778,338,225,342,67,4.04,102
Mike,Stanley,Mike Stanley,1B,6.3,0.0,6.3,6.3,0.3,0.0,-0.6,6.0,0.261,,6.0,,yes,1703,1425,391,76,1,73,234,24,19,0.274,0.381,0.483,118
Jim,Tabor,Jim Tabor,3B,5.7,0.0,5.7,6.0,0.0,0.0,0.0,6.0,,,6.0,,yes,3351,3074,838,162,27,90,230,3,0,0.273,0.324,0.431,101
Coco,Crisp,Coco Crisp,CF,5.3,0.0,5.3,5.3,1.1,0.0,-0.4,6.0,,,6.0,,yes,1452,1300,352,68,12,21,116,3,9,0.271,0.330,0.390,84
Billy,Klaus,Billy Klaus,SS,5.6,0.0,5.6,5.9,0.0,0.0,0.0,5.9,,,5.9,,yes,1860,1626,428,77,11,25,210,1,12,0.263,0.346,0.370,86
Don,Buddin,Don Buddin,SS,5.7,0.0,5.7,5.9,0.0,0.0,0.0,5.9,,,5.9,,yes,2559,2126,519,116,11,39,373,16,17,0.244,0.359,0.364,93
Buddy,Myer,Buddy Myer,3B,5.0,0.0,5.0,5.3,0.6,0.0,0.0,5.9,,,5.9,,yes,1161,1005,303,48,17,3,101,8,0,0.301,0.370,0.392,102
Troy,O'Leary,Troy O'Leary,LF,5.5,0.0,5.5,5.7,0.0,0.0,0.1,5.8,,,5.8,,yes,3788,3456,954,209,37,117,276,23,28,0.276,0.331,0.459,99
Dusty,Cooke,Dusty Cooke,RF,5.4,0.0,5.4,5.7,0.0,0.0,0.0,5.7,,,5.7,,yes,1495,1257,357,81,24,15,221,3,0,0.284,0.392,0.422,105
Bret,Saberhagen,Bret Saberhagen,P,-0.1,5.8,5.7,5.7,0.4,0.0,-0.6,5.5,,0.000,5.5,yes,,,,,,,,,,,,,,,26,17,0,335.0,352,145,50,205,41,3.90,124
Jerry,Remy,Jerry Remy,2B,5.4,0.0,5.4,5.4,0.0,0.0,0.0,5.4,,,5.4,,yes,3118,2809,802,90,20,2,214,2,21,0.286,0.334,0.334,81,,,,,,,,,,,,hof,1997
Bronson,Arroyo,Bronson Arroyo,P,-0.1,5.5,5.4,5.4,0.0,0.0,-0.2,5.2,,0.164,5.4,yes,,,,,,,,,,,,,,,24,19,1,401.3,394,187,105,256,39,4.19,112,active
Brian,Daubach,Brian Daubach,1B,5.6,0.0,5.6,5.6,0.0,0.0,-0.5,5.1,,,5.1,,yes,2033,1802,477,125,10,86,194,22,14,0.265,0.341,0.488,109
Darren,Bragg,Darren Bragg,RF,5.4,0.0,5.4,5.4,0.0,0.0,-0.3,5.1,,,5.1,,yes,1051,922,246,64,5,17,103,9,8,0.267,0.344,0.402,91
Jose,Canseco,Jose Canseco,DH,5.1,0.0,5.1,5.4,0.0,0.0,-0.6,4.8,,,4.8,,yes,882,756,225,47,2,52,105,13,8,0.298,0.389,0.571,141
Cecil,Cooper,Cecil Cooper,1B,5.2,0.0,5.2,5.2,0.0,0.0,-0.5,4.7,,,4.7,,yes,1447,1330,377,70,14,40,81,6,13,0.283,0.324,0.447,112
